overall_rank,overall_score,overall_raw_score,game_design_rank,game_design_score,game_design_raw_score,innovation_rank,innovation_score,innovation_raw_score,theme_rank,theme_score,theme_raw_score,fun_rank,fun_score,fun_raw_score,audio_rank,audio_score,audio_raw_score,graphics_rank,graphics_score,graphics_raw_score
#153,2.857,2.857,#218,2.429,2.429,#113,3.000,3.000,#153,3.000,3.000,#196,2.500,2.500,#77,3.143,3.143,#144,3.071,3.071
#154,2.835,3.750,#121,3.024,4.000,#141,2.835,3.750,#150,3.024,4.000,#106,3.024,4.000,#211,2.079,2.750,#147,3.024,4.000
#154,2.835,3.750,#184,2.646,3.500,#111,3.024,4.000,#64,3.591,4.750,#198,2.457,3.250,#139,2.646,3.500,#177,2.646,3.500
#156,2.833,2.833,#174,2.714,2.714,#238,2.143,2.143,#37,3.857,3.857,#223,2.286,2.286,#95,3.000,3.000,#150,3.000,3.000
#157,2.833,2.833,#164,2.778,2.778,#97,3.111,3.111,#54,3.667,3.667,#30,3.667,3.667,#306,1.000,1.000,#165,2.778,2.778
#157,2.833,2.833,#122,3.000,3.000,#89,3.167,3.167,#141,3.083,3.083,#83,3.250,3.250,#204,2.167,2.167,#220,2.333,2.333
#159,2.830,2.830,#202,2.511,2.511,#186,2.511,2.511,#153,3.000,3.000,#251,2.064,2.064,#94,3.021,3.021,#47,3.872,3.872
#160,2.819,2.819,#234,2.250,2.250,#66,3.333,3.333,#153,3.000,3.000,#271,1.833,1.833,#38,3.583,3.583,#156,2.917,2.917
#161,2.817,2.817,#122,3.000,3.000,#132,2.900,2.900,#264,2.100,2.100,#133,2.900,2.900,#116,2.800,2.800,#120,3.200,3.200
#162,2.795,2.795,#100,3.154,3.154,#129,2.923,2.923,#109,3.308,3.308,#102,3.077,3.077,#284,1.308,1.308,#150,3.000,3.000
#163,2.792,2.792,#72,3.375,3.375,#78,3.250,3.250,#119,3.250,3.250,#83,3.250,3.250,#306,1.000,1.000,#181,2.625,2.625
#164,2.788,2.788,#115,3.091,3.091,#51,3.455,3.455,#104,3.364,3.364,#224,2.273,2.273,#289,1.273,1.273,#111,3.273,3.273
#165,2.786,2.786,#228,2.286,2.286,#90,3.143,3.143,#37,3.857,3.857,#91,3.143,3.143,#183,2.286,2.286,#255,2.000,2.000
#166,2.786,2.786,#102,3.143,3.143,#199,2.429,2.429,#153,3.000,3.000,#204,2.429,2.429,#77,3.143,3.143,#187,2.571,2.571
#167,2.772,2.772,#97,3.185,3.185,#88,3.185,3.185,#148,3.037,3.037,#174,2.667,2.667,#206,2.148,2.148,#208,2.407,2.407
#168,2.762,2.762,#156,2.857,2.857,#217,2.286,2.286,#127,3.143,3.143,#167,2.714,2.714,#242,1.714,1.714,#48,3.857,3.857
#169,2.752,2.972,#205,2.469,2.667,#101,3.086,3.333,#165,2.932,3.167,#121,2.932,3.167,#177,2.315,2.500,#167,2.777,3.000
#170,2.750,2.750,#181,2.667,2.667,#149,2.778,2.778,#271,2.000,2.000,#53,3.444,3.444,#251,1.611,1.611,#36,4.000,4.000
#170,2.750,2.750,#122,3.000,3.000,#157,2.714,2.714,#221,2.571,2.571,#103,3.071,3.071,#286,1.286,1.286,#48,3.857,3.857
#170,2.750,2.750,#162,2.800,2.800,#113,3.000,3.000,#153,3.000,3.000,#59,3.400,3.400,#266,1.500,1.500,#164,2.800,2.800
#173,2.741,2.741,#224,2.333,2.333,#82,3.222,3.222,#22,4.000,4.000,#157,2.778,2.778,#162,2.444,2.444,#284,1.667,1.667
#173,2.741,2.741,#216,2.444,2.444,#226,2.222,2.222,#29,3.889,3.889,#107,3.000,3.000,#119,2.778,2.778,#245,2.111,2.111
#175,2.700,2.700,#179,2.700,2.700,#163,2.700,2.700,#124,3.200,3.200,#155,2.800,2.800,#168,2.400,2.400,#212,2.400,2.400
#176,2.685,2.685,#236,2.222,2.222,#212,2.333,2.333,#153,3.000,3.000,#217,2.333,2.333,#119,2.778,2.778,#95,3.444,3.444
#177,2.676,3.167,#150,2.874,3.400,#61,3.381,4.000,#253,2.197,2.600,#212,2.366,2.800,#172,2.366,2.800,#161,2.874,3.400
#178,2.675,2.889,#134,2.932,3.167,#233,2.160,2.333,#165,2.932,3.167,#184,2.623,2.833,#59,3.395,3.667,#253,2.006,2.167
