wowie_rank,wowie_score,wowie_raw_score,topic_rank,topic_score,topic_raw_score,fun_rank,fun_score,fun_raw_score,simplicity_rank,simplicity_score,simplicity_raw_score,sound_rank,sound_score,sound_raw_score,visuals_rank,visuals_score,visuals_raw_score,creativity_rank,creativity_score,creativity_raw_score
#115,3.667,3.667,#299,3.444,3.444,#35,4.000,4.000,#19,4.361,4.361,#58,3.806,3.806,#505,2.944,2.944,#123,3.861,3.861
#131,3.662,3.662,#403,3.169,3.169,#207,3.508,3.508,#225,3.877,3.877,#48,3.846,3.846,#30,4.415,4.415,#291,3.446,3.446
#132,3.658,3.658,#437,3.105,3.105,#77,3.868,3.868,#28,4.316,4.316,#241,3.289,3.289,#25,4.447,4.447,#64,4.026,4.026
#133,3.656,3.656,#65,4.049,4.049,#127,3.705,3.705,#245,3.836,3.836,#120,3.607,3.607,#106,3.967,3.967,#146,3.803,3.803
#134,3.654,3.654,#378,3.231,3.231,#74,3.885,3.885,#369,3.615,3.615,#180,3.423,3.423,#93,4.000,4.000,#58,4.038,4.038
#135,3.650,3.650,#68,4.025,4.025,#130,3.700,3.700,#116,4.075,4.075,#122,3.600,3.600,#118,3.925,3.925,#536,2.925,2.925
#135,3.650,3.650,#175,3.750,3.750,#107,3.750,3.750,#291,3.750,3.750,#171,3.450,3.450,#272,3.500,3.500,#182,3.700,3.700
#137,3.647,3.647,#70,4.000,4.000,#105,3.765,3.765,#188,3.941,3.941,#72,3.765,3.765,#112,3.941,3.941,#140,3.824,3.824
#138,3.643,3.643,#29,4.214,4.214,#152,3.643,3.643,#118,4.071,4.071,#491,2.786,2.786,#365,3.286,3.286,#156,3.786,3.786
#139,3.639,3.639,#471,3.033,3.033,#164,3.590,3.590,#114,4.082,4.082,#120,3.607,3.607,#110,3.951,3.951,#80,3.984,3.984
#139,3.639,3.639,#90,3.951,3.951,#185,3.557,3.557,#177,3.984,3.984,#140,3.541,3.541,#155,3.836,3.836,#170,3.738,3.738
#141,3.636,3.636,#149,3.818,3.818,#118,3.727,3.727,#105,4.091,4.091,#109,3.636,3.636,#510,2.909,2.909,#173,3.727,3.727
#141,3.636,3.636,#70,4.000,4.000,#63,3.909,3.909,#69,4.182,4.182,#28,4.000,4.000,#127,3.909,3.909,#215,3.636,3.636
#143,3.633,3.633,#225,3.633,3.633,#143,3.667,3.667,#632,3.100,3.100,#517,2.733,2.733,#304,3.433,3.433,#1,4.500,4.500
#144,3.630,3.630,#129,3.852,3.852,#50,3.963,3.963,#41,4.259,4.259,#189,3.407,3.407,#117,3.926,3.926,#323,3.370,3.370
#145,3.619,3.619,#88,3.952,3.952,#124,3.714,3.714,#212,3.905,3.905,#146,3.524,3.524,#146,3.857,3.857,#241,3.571,3.571
#145,3.619,3.619,#255,3.571,3.571,#253,3.429,3.429,#349,3.667,3.667,#99,3.667,3.667,#162,3.810,3.810,#392,3.238,3.238
#147,3.615,3.615,#521,2.923,2.923,#383,3.154,3.154,#238,3.846,3.846,#48,3.846,3.846,#201,3.692,3.692,#36,4.154,4.154
#147,3.615,3.615,#314,3.385,3.385,#239,3.462,3.462,#146,4.000,4.000,#350,3.077,3.077,#413,3.154,3.154,#186,3.692,3.692
#149,3.611,3.611,#269,3.500,3.500,#244,3.444,3.444,#146,4.000,4.000,#50,3.833,3.833,#258,3.556,3.556,#133,3.833,3.833
#150,3.605,3.605,#418,3.132,3.132,#161,3.605,3.605,#491,3.368,3.368,#194,3.395,3.395,#29,4.421,4.421,#349,3.316,3.316
#151,3.600,3.600,#157,3.800,3.800,#197,3.533,3.533,#122,4.067,4.067,#256,3.267,3.267,#348,3.333,3.333,#37,4.133,4.133
#151,3.600,3.600,#51,4.100,4.100,#114,3.733,3.733,#146,4.000,4.000,#45,3.867,3.867,#320,3.400,3.400,#354,3.300,3.300
#151,3.600,3.600,#346,3.300,3.300,#208,3.500,3.500,#146,4.000,4.000,#192,3.400,3.400,#394,3.200,3.200,#488,3.000,3.000
#154,3.596,3.596,#239,3.596,3.596,#120,3.723,3.723,#472,3.404,3.404,#247,3.277,3.277,#188,3.723,3.723,#116,3.872,3.872
#155,3.589,3.589,#190,3.696,3.696,#187,3.554,3.554,#410,3.536,3.536,#137,3.554,3.554,#135,3.893,3.893,#164,3.768,3.768
#156,3.586,4.286,#434,3.108,3.714,#166,3.586,4.286,#511,3.347,4.000,#166,3.466,4.143,#244,3.586,4.286,#139,3.825,4.571
#157,3.584,3.778,#28,4.216,4.444,#221,3.479,3.667,#214,3.900,4.111,#253,3.268,3.444,#72,4.111,4.333,#191,3.689,3.889
#158,3.583,3.583,#204,3.667,3.667,#194,3.542,3.542,#93,4.125,4.125,#83,3.708,3.708,#36,4.333,4.333,#438,3.125,3.125
#159,3.571,3.571,#184,3.714,3.714,#124,3.714,3.714,#318,3.714,3.714,#203,3.357,3.357,#272,3.500,3.500,#91,3.929,3.929
#159,3.571,3.571,#354,3.286,3.286,#177,3.571,3.571,#801,2.643,2.643,#2,4.357,4.357,#255,3.571,3.571,#156,3.786,3.786
#159,3.571,3.571,#70,4.000,4.000,#152,3.643,3.643,#318,3.714,3.714,#354,3.071,3.071,#168,3.786,3.786,#91,3.929,3.929
#163,3.568,3.568,#63,4.054,4.054,#162,3.595,3.595,#278,3.784,3.784,#502,2.757,2.757,#144,3.865,3.865,#233,3.595,3.595
#164,3.563,3.563,#175,3.750,3.750,#478,2.938,2.938,#611,3.125,3.125,#164,3.469,3.469,#26,4.438,4.438,#88,3.938,3.938
#165,3.552,3.552,#667,2.483,2.483,#49,3.966,3.966,#76,4.172,4.172,#23,4.069,4.069,#107,3.966,3.966,#389,3.241,3.241
#167,3.543,3.543,#166,3.783,3.783,#149,3.652,3.652,#108,4.087,4.087,#421,2.935,2.935,#150,3.848,3.848,#288,3.457,3.457
#168,3.542,3.542,#425,3.125,3.125,#138,3.688,3.688,#110,4.083,4.083,#134,3.563,3.563,#313,3.417,3.417,#250,3.542,3.542
#169,3.533,3.533,#10,4.333,4.333,#78,3.867,3.867,#62,4.200,4.200,#256,3.267,3.267,#89,4.033,4.033,#227,3.600,3.600
#169,3.533,3.533,#669,2.467,2.467,#261,3.400,3.400,#264,3.800,3.800,#61,3.800,3.800,#213,3.667,3.667,#198,3.667,3.667
#171,3.531,3.531,#870,1.781,1.781,#35,4.000,4.000,#8,4.469,4.469,#361,3.063,3.063,#205,3.688,3.688,#130,3.844,3.844
#172,3.529,3.529,#210,3.647,3.647,#302,3.294,3.294,#146,4.000,4.000,#419,2.941,2.941,#93,4.000,4.000,#440,3.118,3.118
#173,3.525,3.525,#344,3.311,3.311,#202,3.525,3.525,#405,3.541,3.541,#226,3.328,3.328,#254,3.574,3.574,#155,3.787,3.787
#174,3.524,3.524,#213,3.643,3.643,#277,3.357,3.357,#146,4.000,4.000,#74,3.762,3.762,#234,3.619,3.619,#392,3.238,3.238
#175,3.519,3.519,#168,3.778,3.778,#128,3.704,3.704,#574,3.222,3.222,#111,3.630,3.630,#82,4.074,4.074,#126,3.852,3.852
#176,3.516,3.516,#472,3.032,3.032,#172,3.581,3.581,#390,3.581,3.581,#277,3.226,3.226,#193,3.710,3.710,#225,3.613,3.613
